Year,Geography,Type of charging or fuelling stations,GeoCode,Value
2010,,,,109
2011,,,,125
2012,,,,161
2013,,,,241
2014,,,,358
2015,,,,690
2016,,,,881
2017,,,,1381
2018,,,,1838
2019,,,,3900
2020,,,,4728
2021,,,,6044
2022,,,,8326
2023,,,,11677
2024,,,,14147
2025,,,,15338
2010,Alberta,Total electric charging and alternative fuelling stations,48,26
2010,Alberta,Propane,48,26
2011,Alberta,Total electric charging and alternative fuelling stations,48,27
2011,Alberta,Propane,48,27
2012,Alberta,Total electric charging and alternative fuelling stations,48,32
2012,Alberta,Electric,48,2
2012,Alberta,Propane,48,30
2013,Alberta,Total electric charging and alternative fuelling stations,48,39
2013,Alberta,Electric,48,8
2013,Alberta,Propane,48,31
2014,Alberta,Total electric charging and alternative fuelling stations,48,44
2014,Alberta,Electric,48,13
2015,Alberta,Total electric charging and alternative fuelling stations,48,73
2015,Alberta,Electric,48,41
2015,Alberta,Propane,48,32
2016,Alberta,Total electric charging and alternative fuelling stations,48,84
2016,Alberta,Electric,48,51
2016,Alberta,Propane,48,33
2017,Alberta,Total electric charging and alternative fuelling stations,48,135
2017,Alberta,Compressed natural gas,48,1
2017,Alberta,Electric,48,65
2017,Alberta,Propane,48,69
2018,Alberta,Total electric charging and alternative fuelling stations,48,219
2018,Alberta,Compressed natural gas,48,10
2018,Alberta,Electric,48,75
2018,Alberta,Propane,48,134
2019,Alberta,Total electric charging and alternative fuelling stations,48,254
2019,Alberta,Electric,48,109
2019,Alberta,Propane,48,135
2020,Alberta,Total electric charging and alternative fuelling stations,48,281
2020,Alberta,Compressed natural gas,48,11
2020,Alberta,Electric,48,132
2020,Alberta,Propane,48,138
2021,Alberta,Total electric charging and alternative fuelling stations,48,337
2021,Alberta,Electric,48,185
2021,Alberta,Propane,48,141
2022,Alberta,Total electric charging and alternative fuelling stations,48,510
2022,Alberta,Compressed natural gas,48,12
2022,Alberta,Electric,48,357
2023,Alberta,Total electric charging and alternative fuelling stations,48,744
2023,Alberta,Compressed natural gas,48,13
2023,Alberta,Electric,48,589
2023,Alberta,Propane,48,142
2024,Alberta,Total electric charging and alternative fuelling stations,48,924
2024,Alberta,Electric,48,768
2024,Alberta,Propane,48,143
2025,Alberta,Total electric charging and alternative fuelling stations,48,972
2025,Alberta,Electric,48,813
2025,Alberta,Ethanol,48,1
2025,Alberta,Propane,48,145
2010,British Columbia,Total electric charging and alternative fuelling stations,59,37
2010,British Columbia,Biodiesel,59,1
2010,British Columbia,Propane,59,36
2011,British Columbia,Total electric charging and alternative fuelling stations,59,42
2011,British Columbia,Electric,59,5
2012,British Columbia,Total electric charging and alternative fuelling stations,59,48
2012,British Columbia,Electric,59,10
2012,British Columbia,Propane,59,37
2013,British Columbia,Total electric charging and alternative fuelling stations,59,67
2013,British Columbia,Electric,59,28
2013,British Columbia,Propane,59,38
2014,British Columbia,Total electric charging and alternative fuelling stations,59,87
2014,British Columbia,Electric,59,48
2015,British Columbia,Total electric charging and alternative fuelling stations,59,176
2015,British Columbia,Compressed natural gas,59,2
2015,British Columbia,Electric,59,134
2015,British Columbia,Propane,59,39
2016,British Columbia,Total electric charging and alternative fuelling stations,59,199
2016,British Columbia,Electric,59,156
2016,British Columbia,Propane,59,40
2017,British Columbia,Total electric charging and alternative fuelling stations,59,283
2017,British Columbia,Compressed natural gas,59,4
2017,British Columbia,Electric,59,202
2017,British Columbia,Propane,59,76
2018,British Columbia,Total electric charging and alternative fuelling stations,59,386
2018,British Columbia,Electric,59,271
2018,British Columbia,Hydrogen,59,1
2018,British Columbia,Propane,59,109
2019,British Columbia,Total electric charging and alternative fuelling stations,59,600
2019,British Columbia,Electric,59,481
2019,British Columbia,Hydrogen,59,2
2019,British Columbia,Propane,59,112
2020,British Columbia,Total electric charging and alternative fuelling stations,59,750
2020,British Columbia,Electric,59,628
2020,British Columbia,Hydrogen,59,3
2020,British Columbia,Propane,59,114
2021,British Columbia,Total electric charging and alternative fuelling stations,59,1039
2021,British Columbia,Compressed natural gas,59,5
2021,British Columbia,Electric,59,914
2021,British Columbia,Hydrogen,59,4
2021,British Columbia,Propane,59,115
2022,British Columbia,Total electric charging and alternative fuelling stations,59,1509
2022,British Columbia,Electric,59,1380
2022,British Columbia,Hydrogen,59,5
2022,British Columbia,Propane,59,118
2023,British Columbia,Total electric charging and alternative fuelling stations,59,2085
2023,British Columbia,Compressed natural gas,59,7
2023,British Columbia,Electric,59,1949
2023,British Columbia,Ethanol,59,1
2023,British Columbia,Hydrogen,59,9
2024,British Columbia,Total electric charging and alternative fuelling stations,59,2542
2024,British Columbia,Electric,59,2402
2024,British Columbia,Hydrogen,59,10
2024,British Columbia,Propane,59,121
2025,British Columbia,Total electric charging and alternative fuelling stations,59,2736
2025,British Columbia,Electric,59,2594
2025,British Columbia,Propane,59,123
2010,Canada,Biodiesel,,1
2010,Canada,Electric,,5
2010,Canada,Propane,,103
