Year,Units,État des stocks,Région,Groupe de stocks,Value
2011,Pourcentage,Zone saine,Canada,,46.4516129032258
2012,Pourcentage,Zone saine,Canada,,48.3870967741936
2013,Pourcentage,Zone saine,Canada,,47.741935483871
2014,Pourcentage,Zone saine,Canada,,48.7012987012987
2015,Pourcentage,Zone saine,Canada,,49.0566037735849
2016,Pourcentage,Zone saine,Canada,,44.7058823529412
2017,Pourcentage,Zone saine,Canada,,35.195530726257
2018,Pourcentage,Zone saine,Canada,,32.7683615819209
2019,Pourcentage,Zone saine,Canada,,29.5454545454545
2020,Pourcentage,Zone saine,Canada,,31.1111111111111
2021,Pourcentage,Zone saine,Canada,,34.375
2022,Pourcentage,Zone saine,Canada,,33.8461538461538
2023,Pourcentage,Zone saine,Canada,,35.1758793969849
2011,Pourcentage,Zone de prudence,Canada,,20.0
2012,Pourcentage,Zone de prudence,Canada,,23.8709677419355
2013,Pourcentage,Zone de prudence,Canada,,26.4516129032258
2014,Pourcentage,Zone de prudence,Canada,,25.974025974026
2015,Pourcentage,Zone de prudence,Canada,,19.496855345912
2016,Pourcentage,Zone de prudence,Canada,,18.2352941176471
2017,Pourcentage,Zone de prudence,Canada,,13.9664804469274
2018,Pourcentage,Zone de prudence,Canada,,15.2542372881356
2019,Pourcentage,Zone de prudence,Canada,,16.4772727272727
2020,Pourcentage,Zone de prudence,Canada,,12.7777777777778
2021,Pourcentage,Zone de prudence,Canada,,14.0625
2022,Pourcentage,Zone de prudence,Canada,,12.3076923076923
2023,Pourcentage,Zone de prudence,Canada,,11.5577889447236
2011,Pourcentage,Zone critique,Canada,,10.9677419354839
2012,Pourcentage,Zone critique,Canada,,9.67741935483871
2013,Pourcentage,Zone critique,Canada,,10.3225806451613
2014,Pourcentage,Zone critique,Canada,,9.74025974025974
2015,Pourcentage,Zone critique,Canada,,11.9496855345912
2016,Pourcentage,Zone critique,Canada,,12.3529411764706
2017,Pourcentage,Zone critique,Canada,,10.0558659217877
2018,Pourcentage,Zone critique,Canada,,10.7344632768362
2019,Pourcentage,Zone critique,Canada,,14.2045454545455
2020,Pourcentage,Zone critique,Canada,,12.7777777777778
2021,Pourcentage,Zone critique,Canada,,11.4583333333333
2022,Pourcentage,Zone critique,Canada,,11.7948717948718
2023,Pourcentage,Zone critique,Canada,,15.5778894472362
2011,Pourcentage,État incertain,Canada,,22.5806451612903
2012,Pourcentage,État incertain,Canada,,18.0645161290323
2013,Pourcentage,État incertain,Canada,,15.4838709677419
2014,Pourcentage,État incertain,Canada,,15.5844155844156
2015,Pourcentage,État incertain,Canada,,19.496855345912
2016,Pourcentage,État incertain,Canada,,24.7058823529412
2017,Pourcentage,État incertain,Canada,,40.7821229050279
2018,Pourcentage,État incertain,Canada,,41.2429378531073
2019,Pourcentage,État incertain,Canada,,39.7727272727273
2020,Pourcentage,État incertain,Canada,,43.3333333333333
2021,Pourcentage,État incertain,Canada,,40.1041666666667
2022,Pourcentage,État incertain,Canada,,42.051282051282
2023,Pourcentage,État incertain,Canada,,37.6884422110553
2011,Pourcentage,,,,66.4516129032258
2012,Pourcentage,,,,72.258064516129
2013,Pourcentage,,,,74.1935483870968
2014,Pourcentage,,,,74.6753246753247
2015,Pourcentage,,,,68.5534591194968
2016,Pourcentage,,,,62.9411764705882
2017,Pourcentage,,,,49.1620111731844
2018,Pourcentage,,,,48.0225988700565
2019,Pourcentage,,,,46.0227272727273
2020,Pourcentage,,,,43.8888888888889
2021,Pourcentage,,,,48.4375
2022,Pourcentage,,,,46.1538461538462
2023,Pourcentage,,,,46.7336683417085
2023,Pourcentage,Zone saine,Pacifique,,43.859649122807
2023,Pourcentage,Zone de prudence,Pacifique,,17.5438596491228
2023,Pourcentage,Zone critique,Pacifique,,14.0350877192982
2023,Pourcentage,État incertain,Pacifique,,24.5614035087719
2022,Pourcentage,Zone saine,Pacifique,,42.1052631578947
2022,Pourcentage,Zone de prudence,Pacifique,,22.8070175438596
2022,Pourcentage,Zone critique,Pacifique,,8.7719298245614
2022,Pourcentage,État incertain,Pacifique,,26.3157894736842
2021,Pourcentage,Zone saine,Pacifique,,40.3508771929825
