Year,Géographie,Infractions,GeoCode,Value
2015,,,,1070.26
2016,,,,1076.03
2017,,,,1112.67
2018,,,,1151.36
2019,,,,1278.46
2020,,,,1265.03
2021,,,,1331.12
2022,,,,1376.93
2023,,,,1441.79
2024,,,,1433.46
2015,Canada,Homicide,,1.71
2015,Canada,Total des autres infractions entraînant la mort,,0.24
2015,Canada,Tentative de meurtre,,2.18
2015,Canada,Agression sexuelle grave (niveau 3),,0.29
2015,Canada,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",,1.06
2015,Canada,Agression sexuelle de niveau 1,,57.32
2015,Canada,Total des infractions sexuelles contre les enfants,,14.72
2015,Canada,Voies de fait graves (niveau 3),,9.3
2015,Canada,Voies de fait armées ou causant des lésions corporelles (niveau 2),,132.73
2015,Canada,Voies de fait simples (niveau 1),,439.87
2015,Canada,Total des vols qualifiés,,62.04
2015,Canada,Menaces,,175.94
2015,Canada,Total des autres infractions avec violence,,14.16
2015,Terre-Neuve-et-Labrador,Total des infractions de violence prévues au Code criminel,10,1368.64
2015,Terre-Neuve-et-Labrador,Homicide,10,0.57
2015,Terre-Neuve-et-Labrador,Total des autres infractions entraînant la mort,10,0.0
2015,Terre-Neuve-et-Labrador,Tentative de meurtre,10,0.76
2015,Terre-Neuve-et-Labrador,Agression sexuelle grave (niveau 3),10,0.19
2015,Terre-Neuve-et-Labrador,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",10,0.19
2015,Terre-Neuve-et-Labrador,Agression sexuelle de niveau 1,10,68.55
2015,Terre-Neuve-et-Labrador,Total des infractions sexuelles contre les enfants,10,19.12
2015,Terre-Neuve-et-Labrador,Voies de fait graves (niveau 3),10,7.38
2015,Terre-Neuve-et-Labrador,Voies de fait armées ou causant des lésions corporelles (niveau 2),10,114.94
2015,Terre-Neuve-et-Labrador,Voies de fait simples (niveau 1),10,600.44
2015,Terre-Neuve-et-Labrador,Total des vols qualifiés,10,35.41
2015,Terre-Neuve-et-Labrador,Menaces,10,351.82
2015,Terre-Neuve-et-Labrador,Total des autres infractions avec violence,10,9.09
2015,Île-du-Prince-Édouard,Total des infractions de violence prévues au Code criminel,11,749.24
2015,Île-du-Prince-Édouard,Homicide,11,0.69
2015,Île-du-Prince-Édouard,Total des autres infractions entraînant la mort,11,0.0
2015,Île-du-Prince-Édouard,Tentative de meurtre,11,2.08
2015,Île-du-Prince-Édouard,Agression sexuelle grave (niveau 3),11,0.0
2015,Île-du-Prince-Édouard,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",11,0.0
2015,Île-du-Prince-Édouard,Agression sexuelle de niveau 1,11,48.43
2015,Île-du-Prince-Édouard,Total des infractions sexuelles contre les enfants,11,15.91
2015,Île-du-Prince-Édouard,Voies de fait graves (niveau 3),11,4.15
2015,Île-du-Prince-Édouard,Voies de fait armées ou causant des lésions corporelles (niveau 2),11,62.26
2015,Île-du-Prince-Édouard,Voies de fait simples (niveau 1),11,312.7
2015,Île-du-Prince-Édouard,Total des vols qualifiés,11,11.07
2015,Île-du-Prince-Édouard,Menaces,11,140.44
2015,Île-du-Prince-Édouard,Total des autres infractions avec violence,11,13.84
2015,Nouvelle-Écosse,Total des infractions de violence prévues au Code criminel,12,1205.84
2015,Nouvelle-Écosse,Homicide,12,1.28
2015,Nouvelle-Écosse,Total des autres infractions entraînant la mort,12,0.21
2015,Nouvelle-Écosse,Tentative de meurtre,12,3.52
2015,Nouvelle-Écosse,Agression sexuelle grave (niveau 3),12,0.43
2015,Nouvelle-Écosse,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",12,0.75
2015,Nouvelle-Écosse,Agression sexuelle de niveau 1,12,69.62
2015,Nouvelle-Écosse,Total des infractions sexuelles contre les enfants,12,21.14
2015,Nouvelle-Écosse,Voies de fait graves (niveau 3),12,9.5
2015,Nouvelle-Écosse,Voies de fait armées ou causant des lésions corporelles (niveau 2),12,112.44
2015,Nouvelle-Écosse,Voies de fait simples (niveau 1),12,461.17
2015,Nouvelle-Écosse,Total des vols qualifiés,12,34.28
2015,Nouvelle-Écosse,Menaces,12,260.11
2015,Nouvelle-Écosse,Total des autres infractions avec violence,12,16.23
2015,Nouveau-Brunswick,Total des infractions de violence prévues au Code criminel,13,1175.34
2015,Nouveau-Brunswick,Homicide,13,1.45
2015,Nouveau-Brunswick,Total des autres infractions entraînant la mort,13,0.13
2015,Nouveau-Brunswick,Tentative de meurtre,13,2.24
2015,Nouveau-Brunswick,Agression sexuelle grave (niveau 3),13,0.13
2015,Nouveau-Brunswick,"Agression sexuelle, niveau 2, armée ou causant des lésions corporelles",13,0.66
2015,Nouveau-Brunswick,Agression sexuelle de niveau 1,13,54.29
2015,Nouveau-Brunswick,Total des infractions sexuelles contre les enfants,13,18.84
2015,Nouveau-Brunswick,Voies de fait graves (niveau 3),13,6.46
2015,Nouveau-Brunswick,Voies de fait armées ou causant des lésions corporelles (niveau 2),13,102.79
2015,Nouveau-Brunswick,Voies de fait simples (niveau 1),13,500.37
2015,Nouveau-Brunswick,Total des vols qualifiés,13,20.16
2015,Nouveau-Brunswick,Menaces,13,273.84
2015,Nouveau-Brunswick,Total des autres infractions avec violence,13,9.75
2015,Québec,Total des infractions de violence prévues au Code criminel,24,966.02
2015,Québec,Homicide,24,0.97
