Year,Geography,GeoCode,Population,Sex,Age group,Value
2015,,,,,,6.9
2016,,,,,,7.1
2017,,,,,,6.4
2018,,,,,,5.9
2019,,,,,,5.7
2020,,,,,,9.5
2021,,,,,,7.5
2015,Canada,,Total population,Both sexes,15 to 24 years,12.9
2016,Canada,,Total population,Both sexes,15 to 24 years,12.8
2017,Canada,,Total population,Both sexes,15 to 24 years,11.4
2018,Canada,,Total population,Both sexes,15 to 24 years,10.9
2019,Canada,,Total population,Both sexes,15 to 24 years,11.0
2020,Canada,,Total population,Both sexes,15 to 24 years,20.1
2021,Canada,,Total population,Both sexes,15 to 24 years,13.5
2015,Canada,,Total population,Both sexes,25 years and over,5.9
2016,Canada,,Total population,Both sexes,25 years and over,6.1
2017,Canada,,Total population,Both sexes,25 years and over,5.5
2018,Canada,,Total population,Both sexes,25 years and over,5.1
2019,Canada,,Total population,Both sexes,25 years and over,4.8
2020,Canada,,Total population,Both sexes,25 years and over,7.8
2021,Canada,,Total population,Both sexes,25 years and over,6.5
2015,Canada,,Total population,Both sexes,25 to 44 years,6.1
2016,Canada,,Total population,Both sexes,25 to 44 years,6.3
2017,Canada,,Total population,Both sexes,25 to 44 years,5.6
2018,Canada,,Total population,Both sexes,25 to 44 years,5.1
2019,Canada,,Total population,Both sexes,25 to 44 years,5.1
2020,Canada,,Total population,Both sexes,25 to 44 years,8.4
2021,Canada,,Total population,Both sexes,25 to 44 years,6.4
2015,Canada,,Total population,Both sexes,45 to 64 years,5.8
2016,Canada,,Total population,Both sexes,45 to 64 years,6.0
2017,Canada,,Total population,Both sexes,45 to 64 years,5.5
2018,Canada,,Total population,Both sexes,45 to 64 years,5.1
2019,Canada,,Total population,Both sexes,45 to 64 years,4.6
2020,Canada,,Total population,Both sexes,45 to 64 years,7.2
2021,Canada,,Total population,Both sexes,45 to 64 years,6.4
2015,Canada,,Total population,Both sexes,45 years and over,5.7
2016,Canada,,Total population,Both sexes,45 years and over,5.9
2017,Canada,,Total population,Both sexes,45 years and over,5.4
2018,Canada,,Total population,Both sexes,45 years and over,5.0
2019,Canada,,Total population,Both sexes,45 years and over,4.6
2020,Canada,,Total population,Both sexes,45 years and over,7.3
2021,Canada,,Total population,Both sexes,45 years and over,6.6
2015,Canada,,Total population,Both sexes,25 to 54 years,5.9
2016,Canada,,Total population,Both sexes,25 to 54 years,6.0
2017,Canada,,Total population,Both sexes,25 to 54 years,5.5
2018,Canada,,Total population,Both sexes,25 to 54 years,5.0
2019,Canada,,Total population,Both sexes,25 to 54 years,4.8
2020,Canada,,Total population,Both sexes,25 to 54 years,7.8
2021,Canada,,Total population,Both sexes,25 to 54 years,6.2
2015,Canada,,Total population,Both sexes,55 years and over,5.9
2016,Canada,,Total population,Both sexes,55 years and over,6.2
2017,Canada,,Total population,Both sexes,55 years and over,5.7
2018,Canada,,Total population,Both sexes,55 years and over,5.3
2019,Canada,,Total population,Both sexes,55 years and over,5.1
2020,Canada,,Total population,Both sexes,55 years and over,7.9
2021,Canada,,Total population,Both sexes,55 years and over,7.4
2015,Canada,,Total population,Both sexes,15 to 64 years,7.0
2016,Canada,,Total population,Both sexes,15 to 64 years,7.1
2017,Canada,,Total population,Both sexes,15 to 64 years,6.4
2018,Canada,,Total population,Both sexes,15 to 64 years,6.0
2019,Canada,,Total population,Both sexes,15 to 64 years,5.8
2020,Canada,,Total population,Both sexes,15 to 64 years,9.6
2021,Canada,,Total population,Both sexes,15 to 64 years,7.4
2015,Canada,,Total population,Both sexes,15 to 19 years,17.8
2016,Canada,,Total population,Both sexes,15 to 19 years,17.4
2017,Canada,,Total population,Both sexes,15 to 19 years,15.6
2018,Canada,,Total population,Both sexes,15 to 19 years,15.0
2019,Canada,,Total population,Both sexes,15 to 19 years,14.7
2020,Canada,,Total population,Both sexes,15 to 19 years,23.6
2021,Canada,,Total population,Both sexes,15 to 19 years,16.0
