Value,Disaggregation combinations using this value,Number of indicators
data.12 to 17 years,99,3
data.15 to 19 years,75,2
data.15 to 24 years,762,4
data.15 to 64 years,57,1
data.15 years and over,123,2
data.18 to 24 years,42,1
data.18 to 34 years,132,4
data.20 to 24 years,75,2
data.25 to 29 years,75,2
data.25 to 34 years,168,1
data.25 to 44 years,66,2
data.25 to 54 years,122,2
data.25 to 64 years,630,1
data.25 years and over,90,2
data.30 to 34 years,201,2
data.35 to 39 years,33,1
data.35 to 44 years,168,1
data.35 to 49 years,132,4
data.40 to 44 years,33,1
data.45 to 49 years,33,1
data.45 to 54 years,168,1
data.45 to 64 years,33,1
data.45 years and over,66,2
data.50 to 54 years,33,1
data.50 to 64 years,132,4
data.55 to 59 years,33,1
data.55 to 64 years,201,2
data.55 years and over,66,2
data.60 to 64 years,33,1
data.65 to 69 years,33,1
data.65 to 74 years,630,1
data.65 years and over,198,6
data.70 years and over,33,1
data.75 years and over,630,1
"data.Total, 12 years and over",96,3
"data.Total, 15 to 29 years",41,1
"data.Total, 18 years and over",131,4
"data.Total, 25 to 64 years",209,1
data.Total,629,1
