Value,Disaggregation combinations using this value,Number of indicators
"data.Abbotsford - Mission (CMA), B.C.",9,1
data.Alberta,407,16
data.Atlantic,1,1
"data.Barrie (CMA), Ont.",9,1
"data.Belleville - Quinte West (CMA), Ont.",9,1
"data.Brantford (CMA), Ont.",9,1
data.British Columbia,407,16
"data.Calgary (CMA), Alta.",9,1
data.Canada,390,9
"data.Edmonton (CMA), Alta.",9,1
"data.Greater Sudbury (CMA), Ont.",9,1
"data.Guelph (CMA), Ont.",9,1
"data.Halifax (CMA), N.S.",9,1
"data.Hamilton (CMA), Ont.",9,1
"data.Kelowna (CMA), B.C.",9,1
"data.Kingston (CMA), Ont.",9,1
"data.Kitchener - Cambridge - Waterloo (CMA), Ont.",9,1
"data.Lethbridge (CMA), Alta.",9,1
"data.London (CMA), Ont.",9,1
data.Manitoba,407,16
"data.Moncton (CMA), N.B.",9,1
"data.Montréal (CMA), Que.",9,1
data.New Brunswick,406,15
data.Newfoundland and Labrador,405,15
data.Northwest Territories,370,11
data.Nova Scotia,406,15
data.Nunavut,367,11
data.Ontario,407,16
"data.Oshawa (CMA), Ont.",9,1
"data.Ottawa - Gatineau (CMA), Ont./Que.",9,1
"data.Ottawa - Gatineau (Ontario part) (CMA), Ont.",9,1
"data.Ottawa - Gatineau (Quebec part) (CMA), Que.",9,1
"data.Peterborough (CMA), Ont.",9,1
data.Prince Edward Island,405,15
data.Quebec,407,16
"data.Québec (CMA), Que.",9,1
"data.Regina (CMA), Sask.",9,1
"data.Saguenay (CMA), Que.",9,1
"data.Saint John (CMA), N.B.",9,1
data.Saskatchewan,407,16
"data.Saskatoon (CMA), Sask.",9,1
"data.Sherbrooke (CMA), Que.",9,1
"data.St. Catharines - Niagara (CMA), Ont.",9,1
"data.St. John's (CMA), N.L.",9,1
"data.Thunder Bay (CMA), Ont.",9,1
"data.Toronto (CMA), Ont.",9,1
"data.Trois-Rivières (CMA), Que.",9,1
"data.Vancouver (CMA), B.C.",9,1
"data.Victoria (CMA), B.C.",9,1
"data.Windsor (CMA), Ont.",9,1
"data.Winnipeg (CMA), Man.",9,1
"data.Yukon, Northwest Territories and Nunavut",3,1
data.Yukon,370,11
