Value,Disaggregation combinations using this value,Number of indicators
data.All management occupations,1,1
data.Chiefs in First Nation communities,1,1
data.First Nations council members,1,1
data.Judges - Federal government public administration,1,1
data.Judges - Provincial and territorial public administration,1,1
data.Members of federal Cabinet,1,1
data.Members of national Parliament,1,1
data.Middle management occupations in retail and wholesale trade and customer services,1,1
data.Middle management occupations in trades - transportation - production and utilities,1,1
data.Senior management occupations,1,1
data.Specialized middle management occupations,1,1
