Year,Units,data.Geography,data.Fuel type,data.Demand characteristics,Value
2015,data.Terajoules,,,,8246990.0
2016,data.Terajoules,,,,8155257.0
2017,data.Terajoules,,,,8472571.0
2018,data.Terajoules,,,,8852052.0
2019,data.Terajoules,,,,8882020.0
2020,data.Terajoules,,,,7947788.0
2021,data.Terajoules,,,,8166974.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2715105.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2665852.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2782616.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2943256.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total industrial,2969004.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2690184.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2685273.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2723111.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2835153.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Total transportation,2859564.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,299012.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,301913.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,307916.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,319001.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Agriculture,307901.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1374039.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1327994.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1376349.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1429611.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Residential,1422090.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,121943.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,125669.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,130095.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,134171.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Public administration,134978.0
2015,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1048046.0
2016,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1048549.0
2017,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1148803.0
2018,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1185457.0
2019,data.Terajoules,data.Canada,data.Total primary and secondary energy,data.Commercial and other institutional,1212605.0
2015,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,46410.0
2016,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,40275.0
2017,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,39664.0
2018,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,38972.0
2019,data.Terajoules,data.Canada,data.Total coal,data.Energy use - final demand,39237.0
2015,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,45006.0
2016,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,
2017,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,38411.0
2018,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,37989.0
2019,data.Terajoules,data.Canada,data.Total coal,data.Total industrial,39237.0
2015,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2016,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2017,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2018,data.Terajoules,data.Canada,data.Total coal,data.Agriculture,
2015,data.Terajoules,data.Canada,data.Total coal,data.Residential,55.0
2016,data.Terajoules,data.Canada,data.Total coal,data.Residential,
2017,data.Terajoules,data.Canada,data.Total coal,data.Residential,
2018,data.Terajoules,data.Canada,data.Total coal,data.Residential,0.0
2015,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2016,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2017,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,
2018,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,0.0
2019,data.Terajoules,data.Canada,data.Total coal,data.Commercial and other institutional,0.0
2015,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2875528.0
2016,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2785651.0
2017,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,2939389.0
2018,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,3146045.0
2019,data.Terajoules,data.Canada,data.Natural gas,data.Energy use - final demand,3170754.0
2015,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1485959.0
2016,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1414041.0
2017,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1488661.0
2018,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1614300.0
2019,data.Terajoules,data.Canada,data.Natural gas,data.Total industrial,1627365.0
2015,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,167166.0
2016,data.Terajoules,data.Canada,data.Natural gas,data.Total transportation,170861.0
