Year,Region,Goods and services (products),Value
2015,,,1003.855
2015,All regions,"Total, environmental products",663.88
2015,All regions,"Total, clean technology products",339.977
2016,,,930.2
2016,All regions,"Total, environmental products",616.125
2016,All regions,"Total, clean technology products",314.07
2017,,,1026.533
2017,All regions,"Total, environmental products",718.013
2017,All regions,"Total, clean technology products",308.525
2018,,,977.25
2018,All regions,"Total, environmental products",647.58
2018,All regions,"Total, clean technology products",329.674
2019,,,1121.822
2019,All regions,"Total, environmental products",586.709
2019,All regions,"Total, clean technology products",535.114
2020,,,1050.244
2020,All regions,"Total, environmental products",500.825
2020,All regions,"Total, clean technology products",549.419
2021,,,1139.218
2021,All regions,"Total, environmental products",540.781
2021,All regions,"Total, clean technology products",598.436
2022,,,1321.76
2022,All regions,"Total, environmental products",819.847
2022,All regions,"Total, clean technology products",501.909
2023,,,1654.662
2023,All regions,"Total, environmental products",993.919
2023,All regions,"Total, clean technology products",660.746
2015,Europe,"Total, environmental and clean technology products",1.947
2015,Europe,"Total, environmental products",0.0
2015,Europe,"Total, clean technology products",1.947
2015,North America,"Total, environmental and clean technology products",47.027
2015,North America,"Total, environmental products",0.866
2015,North America,"Total, clean technology products",46.161
2015,Africa,"Total, environmental and clean technology products",54.396
2015,Africa,"Total, environmental products",16.184
2015,Africa,"Total, clean technology products",38.215
2015,South America,"Total, environmental and clean technology products",59.309
2015,South America,"Total, environmental products",2.093
2015,South America,"Total, clean technology products",57.215
2015,Central America,"Total, environmental and clean technology products",7.706
2015,Central America,"Total, environmental products",1.218
2015,Central America,"Total, clean technology products",6.488
2015,Antilles,"Total, environmental and clean technology products",16.134
2015,Antilles,"Total, environmental products",1.543
2015,Antilles,"Total, clean technology products",14.593
2015,Middle East,"Total, environmental and clean technology products",8.263
2015,Middle East,"Total, environmental products",0.05
2015,Middle East,"Total, clean technology products",8.213
2015,Oceania,"Total, environmental and clean technology products",1.736
2015,Oceania,"Total, environmental products",0.001
2015,Oceania,"Total, clean technology products",1.735
2015,Asia,"Total, environmental and clean technology products",807.337
2015,Asia,"Total, environmental products",641.925
2015,Asia,"Total, clean technology products",165.41
2016,Europe,"Total, environmental and clean technology products",1.677
2016,Europe,"Total, environmental products",0.015
2016,Europe,"Total, clean technology products",1.661
2016,North America,"Total, environmental and clean technology products",44.726
2016,North America,"Total, environmental products",1.819
2016,North America,"Total, clean technology products",42.907
2016,Africa,"Total, environmental and clean technology products",61.197
2016,Africa,"Total, environmental products",3.641
