Year,Géographie,GeoCode,Population,Sexe,Groupe d'âge,Value
2015,,,,,,6.9
2016,,,,,,7.1
2017,,,,,,6.4
2018,,,,,,5.9
2019,,,,,,5.7
2020,,,,,,9.5
2021,,,,,,7.5
2015,Canada,,Population totale,Les deux sexes,15 à 24 ans,12.9
2016,Canada,,Population totale,Les deux sexes,15 à 24 ans,12.8
2017,Canada,,Population totale,Les deux sexes,15 à 24 ans,11.4
2018,Canada,,Population totale,Les deux sexes,15 à 24 ans,10.9
2019,Canada,,Population totale,Les deux sexes,15 à 24 ans,11.0
2020,Canada,,Population totale,Les deux sexes,15 à 24 ans,20.1
2021,Canada,,Population totale,Les deux sexes,15 à 24 ans,13.5
2015,Canada,,Population totale,Les deux sexes,25 ans et plus,5.9
2016,Canada,,Population totale,Les deux sexes,25 ans et plus,6.1
2017,Canada,,Population totale,Les deux sexes,25 ans et plus,5.5
2018,Canada,,Population totale,Les deux sexes,25 ans et plus,5.1
2019,Canada,,Population totale,Les deux sexes,25 ans et plus,4.8
2020,Canada,,Population totale,Les deux sexes,25 ans et plus,7.8
2021,Canada,,Population totale,Les deux sexes,25 ans et plus,6.5
2015,Canada,,Population totale,Les deux sexes,25 à 44 ans,6.1
2016,Canada,,Population totale,Les deux sexes,25 à 44 ans,6.3
2017,Canada,,Population totale,Les deux sexes,25 à 44 ans,5.6
2018,Canada,,Population totale,Les deux sexes,25 à 44 ans,5.1
2019,Canada,,Population totale,Les deux sexes,25 à 44 ans,5.1
2020,Canada,,Population totale,Les deux sexes,25 à 44 ans,8.4
2021,Canada,,Population totale,Les deux sexes,25 à 44 ans,6.4
2015,Canada,,Population totale,Les deux sexes,45 à 64 ans,5.8
2016,Canada,,Population totale,Les deux sexes,45 à 64 ans,6.0
2017,Canada,,Population totale,Les deux sexes,45 à 64 ans,5.5
2018,Canada,,Population totale,Les deux sexes,45 à 64 ans,5.1
2019,Canada,,Population totale,Les deux sexes,45 à 64 ans,4.6
2020,Canada,,Population totale,Les deux sexes,45 à 64 ans,7.2
2021,Canada,,Population totale,Les deux sexes,45 à 64 ans,6.4
2015,Canada,,Population totale,Les deux sexes,45 ans et plus,5.7
2016,Canada,,Population totale,Les deux sexes,45 ans et plus,5.9
2017,Canada,,Population totale,Les deux sexes,45 ans et plus,5.4
2018,Canada,,Population totale,Les deux sexes,45 ans et plus,5.0
2019,Canada,,Population totale,Les deux sexes,45 ans et plus,4.6
2020,Canada,,Population totale,Les deux sexes,45 ans et plus,7.3
2021,Canada,,Population totale,Les deux sexes,45 ans et plus,6.6
2015,Canada,,Population totale,Les deux sexes,25 à 54 ans,5.9
2016,Canada,,Population totale,Les deux sexes,25 à 54 ans,6.0
2017,Canada,,Population totale,Les deux sexes,25 à 54 ans,5.5
2018,Canada,,Population totale,Les deux sexes,25 à 54 ans,5.0
2019,Canada,,Population totale,Les deux sexes,25 à 54 ans,4.8
2020,Canada,,Population totale,Les deux sexes,25 à 54 ans,7.8
2021,Canada,,Population totale,Les deux sexes,25 à 54 ans,6.2
2015,Canada,,Population totale,Les deux sexes,55 ans et plus,5.9
2016,Canada,,Population totale,Les deux sexes,55 ans et plus,6.2
2017,Canada,,Population totale,Les deux sexes,55 ans et plus,5.7
2018,Canada,,Population totale,Les deux sexes,55 ans et plus,5.3
2019,Canada,,Population totale,Les deux sexes,55 ans et plus,5.1
2020,Canada,,Population totale,Les deux sexes,55 ans et plus,7.9
2021,Canada,,Population totale,Les deux sexes,55 ans et plus,7.4
2015,Canada,,Population totale,Les deux sexes,15 à 64 ans,7.0
2016,Canada,,Population totale,Les deux sexes,15 à 64 ans,7.1
2017,Canada,,Population totale,Les deux sexes,15 à 64 ans,6.4
2018,Canada,,Population totale,Les deux sexes,15 à 64 ans,6.0
2019,Canada,,Population totale,Les deux sexes,15 à 64 ans,5.8
2020,Canada,,Population totale,Les deux sexes,15 à 64 ans,9.6
