Year,Geography,GeoCode,Value
2015,,,55.6
2015,Total Non-Census metropolitan area,,66.3
2015,Total Census metropolitan area,,51.6
2015,Newfoundland and Labrador,10,36.0
2015,"St. John's, Newfoundland and Labrador",10001,16.5
2015,Prince Edward Island,11,53.9
2015,Nova Scotia,12,146.0
2015,"Halifax, Nova Scotia",12205,154.4
2015,New Brunswick,13,73.6
2015,"Moncton, New Brunswick",13305,81.3
2015,Quebec,24,26.3
2015,"Saguenay, Quebec",24408,26.9
2015,"Sherbrooke, Quebec",24433,62.9
2015,"Trois-Rivières, Quebec",24442,30.2
2015,"Montréal, Quebec",24462,23.8
2015,"Ottawa-Gatineau, Quebec part",24505,47.9
2015,Ontario,35,56.2
2015,"Ottawa-Gatineau, Ontario part",35505,52.6
2015,"Kingston, Ontario",35521,46.0
2015,"Peterborough, Ontario",35529,102.0
2015,"Toronto, Ontario",35535,37.4
2015,"Hamilton, Ontario",35537,61.5
2015,"St. Catharines-Niagara, Ontario",35539,77.7
2015,"Kitchener-Cambridge-Waterloo, Ontario",35541,132.2
2015,"Brantford, Ontario",35543,229.4
2015,"Guelph, Ontario",35550,111.9
2015,"London, Ontario",35555,63.9
2015,"Windsor, Ontario",35559,36.8
2015,"Barrie, Ontario",35568,23.9
2015,"Greater Sudbury, Ontario",35580,166.8
2015,"Thunder Bay, Ontario",35595,59.3
2015,Manitoba,46,23.3
2015,"Winnipeg, Manitoba",46602,15.2
2015,Saskatchewan,47,61.3
2015,"Regina, Saskatchewan",47705,14.8
2015,"Saskatoon, Saskatchewan",47725,58.3
2015,Alberta,48,69.1
2015,"Edmonton, Alberta",48835,64.0
2015,British Columbia,59,85.9
2015,"Kelowna, British Columbia",59915,97.4
2015,"Abbotsford-Mission, British Columbia",59932,68.3
2015,"Vancouver, British Columbia",59933,83.3
2015,"Victoria, British Columbia",59935,149.5
2015,Yukon,60,96.2
2015,Northwest Territories,61,88.5
2015,Nunavut,62,16.3
2016,,,74.1
2016,Total Non-Census metropolitan area,,79.9
2016,Total Census metropolitan area,,72.1
2016,Newfoundland and Labrador,10,41.0
2016,"St. John's, Newfoundland and Labrador",10001,23.5
2016,Prince Edward Island,11,77.1
2016,Nova Scotia,12,138.3
2016,"Halifax, Nova Scotia",12205,124.3
2016,New Brunswick,13,82.9
2016,"Moncton, New Brunswick",13305,61.5
2016,Quebec,24,37.7
2016,"Saguenay, Quebec",24408,30.9
2016,"Québec, Quebec",24421,65.6
2016,"Sherbrooke, Quebec",24433,67.3
2016,"Trois-Rivières, Quebec",24442,30.3
2016,"Montréal, Quebec",24462,27.1
2016,"Ottawa-Gatineau, Quebec part",24505,89.0
2016,Ontario,35,70.8
2016,"Ottawa-Gatineau, Ontario part",35505,73.2
2016,"Kingston, Ontario",35521,61.9
2016,"Belleville-Quinte West, Ontario",35522,90.1
2016,"Peterborough, Ontario",35529,129.5
2016,"Toronto, Ontario",35535,47.9
2016,"Hamilton, Ontario",35537,68.6
2016,"St. Catharines-Niagara, Ontario",35539,101.8
2016,"Kitchener-Cambridge-Waterloo, Ontario",35541,126.0
2016,"Brantford, Ontario",35543,290.6
2016,"Guelph, Ontario",35550,172.8
2016,"London, Ontario",35555,83.6
2016,"Windsor, Ontario",35559,43.4
2016,"Barrie, Ontario",35568,43.0
2016,"Greater Sudbury, Ontario",35580,230.0
2016,"Thunder Bay, Ontario",35595,94.9
2016,Manitoba,46,44.0
2016,"Winnipeg, Manitoba",46602,40.7
2016,Saskatchewan,47,77.8
2016,"Regina, Saskatchewan",47705,44.4
2016,"Saskatoon, Saskatchewan",47725,61.8
2016,Alberta,48,98.7
2016,"Lethbridge, Alberta",48810,156.1
2016,"Calgary, Alberta",48825,74.3
2016,"Edmonton, Alberta",48835,108.4
