Year,Géographie,Type de matières récupérées,Sources des matières préparées en vue du recyclage,GeoCode,Value
2018,,,,,257.635662113981
2020,,,,,260.40972069523
2022,,,,,254.214740079986
2018,Canada,Toutes les matières,Sources des matières résidentielles récupérées,,
2018,Canada,Toutes les matières,Sources des matières non résidentielles récupérées,,
2018,Canada,Toutes les fibres cellulosiques,Toutes les sources des matières récupérées,,94.9403899697405
2018,Canada,Toutes les fibres cellulosiques,Sources des matières résidentielles récupérées,,41.4607599894477
2018,Canada,Toutes les fibres cellulosiques,Sources des matières non résidentielles récupérées,,53.4796299802927
2018,Canada,Verre,Toutes les sources des matières récupérées,,10.7068505004502
2018,Canada,Verre,Sources des matières résidentielles récupérées,,8.03967995787727
2018,Canada,Verre,Sources des matières non résidentielles récupérées,,2.66717054257293
2018,Canada,Métaux ferreux,Toutes les sources des matières récupérées,,16.8551885461562
2018,Canada,Métaux ferreux,Sources des matières résidentielles récupérées,,3.09827036772691
2018,Canada,Métaux ferreux,Sources des matières non résidentielles récupérées,,13.7569181784293
2018,Canada,Cuivre et aluminium,Toutes les sources des matières récupérées,,3.56225160239551
2018,Canada,Cuivre et aluminium,Sources des matières résidentielles récupérées,,1.09824986742237
2018,Canada,Cuivre et aluminium,Sources des matières non résidentielles récupérées,,2.46400173497314
2018,Canada,Métaux mélangés,Toutes les sources des matières récupérées,,3.15561727226185
2018,Canada,Métaux mélangés,Sources des matières résidentielles récupérées,,1.61472267134074
2018,Canada,Métaux mélangés,Sources des matières non résidentielles récupérées,,1.54089460092111
2018,Canada,Électroménagers,Toutes les sources des matières récupérées,,1.71174845478955
2018,Canada,Électroménagers,Sources des matières résidentielles récupérées,,1.04128060007628
2018,Canada,Électroménagers,Sources des matières non résidentielles récupérées,,0.670467854713263
2018,Canada,Matériel électronique,Toutes les sources des matières récupérées,,2.83956191928167
2018,Canada,Matériel électronique,Sources des matières résidentielles récupérées,,
2018,Canada,Matériel électronique,Sources des matières non résidentielles récupérées,,
2018,Canada,Matières plastiques,Toutes les sources des matières récupérées,,9.56390457431927
2018,Canada,Matières plastiques,Sources des matières résidentielles récupérées,,6.75223385884246
2018,Canada,Matières plastiques,Sources des matières non résidentielles récupérées,,2.81167071547681
2018,Canada,Récipients triangulaires et aseptiques,Toutes les sources des matières récupérées,,0.680367343878043
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières résidentielles récupérées,,0.598959555596556
2018,Canada,Récipients triangulaires et aseptiques,Sources des matières non résidentielles récupérées,,0.0814077882814864
2018,Canada,Textiles,Toutes les sources des matières récupérées,,1.58863873122536
2018,Canada,Textiles,Sources des matières résidentielles récupérées,,1.57547537778555
2018,Canada,Textiles,Sources des matières non résidentielles récupérées,,0.0131633534398162
2018,Canada,Pneus,Toutes les sources des matières récupérées,,13.1607639276641
2018,Canada,Pneus,Sources des matières résidentielles récupérées,,
