Year,Géographie,Actif,GeoCode,Value
2015,,,,0.2402
2016,,,,0.2476
2017,,,,0.2414
2018,,,,0.2363
2019,,,,0.2304
2020,,,,0.2339
2021,,,,0.2135
2022,,,,0.1916
2015,Canada,Immeubles commerciaux,,0.2021
2015,Canada,Bâtiments institutionnels,,0.1882
2015,Canada,Infrastructures de génie maritime,,0.2243
2015,Canada,Infrastructures de génie liées aux transports,,0.3116
2015,Canada,Infrastructure d'adduction et de distribution d'eau,,0.261
2015,Canada,Infrastructures pour les eaux usées,,0.2687
2015,Canada,Réseaux de communication,,0.2496
2015,Canada,Infrastructure liées à l'énergie électrique,,0.1765
2015,Canada,Construction liée aux installations de pétrole et de gaz,,0.2519
2015,Canada,Autres travaux de génie,,0.2896
2015,Canada,Autres machines et matériel,,0.2117
2015,Canada,Machines et matériel de transport,,0.2694
2015,Terre-Neuve-et-Labrador,Total des actifs,10,0.1363
2015,Terre-Neuve-et-Labrador,Immeubles commerciaux,10,0.1791
2015,Terre-Neuve-et-Labrador,Bâtiments institutionnels,10,0.1791
2015,Terre-Neuve-et-Labrador,Infrastructures de génie maritime,10,0.1568
2015,Terre-Neuve-et-Labrador,Infrastructures de génie liées aux transports,10,0.2316
2015,Terre-Neuve-et-Labrador,Infrastructure d'adduction et de distribution d'eau,10,0.1568
2015,Terre-Neuve-et-Labrador,Infrastructures pour les eaux usées,10,0.1568
2015,Terre-Neuve-et-Labrador,Réseaux de communication,10,0.3041
2015,Terre-Neuve-et-Labrador,Infrastructure liées à l'énergie électrique,10,0.1185
2015,Terre-Neuve-et-Labrador,Construction liée aux installations de pétrole et de gaz,10,
2015,Terre-Neuve-et-Labrador,Autres travaux de génie,10,0.1568
2015,Terre-Neuve-et-Labrador,Autres machines et matériel,10,0.1615
2015,Terre-Neuve-et-Labrador,Machines et matériel de transport,10,0.2029
2015,Île-du-Prince-Édouard,Total des actifs,11,0.2624
2015,Île-du-Prince-Édouard,Immeubles commerciaux,11,0.1609
2015,Île-du-Prince-Édouard,Bâtiments institutionnels,11,0.1609
2015,Île-du-Prince-Édouard,Infrastructures de génie maritime,11,0.333
2015,Île-du-Prince-Édouard,Infrastructures de génie liées aux transports,11,0.3322
2015,Île-du-Prince-Édouard,Infrastructure d'adduction et de distribution d'eau,11,0.333
2015,Île-du-Prince-Édouard,Infrastructures pour les eaux usées,11,0.333
2015,Île-du-Prince-Édouard,Réseaux de communication,11,0.259
2015,Île-du-Prince-Édouard,Infrastructure liées à l'énergie électrique,11,0.107
2015,Île-du-Prince-Édouard,Construction liée aux installations de pétrole et de gaz,11,
2015,Île-du-Prince-Édouard,Autres travaux de génie,11,0.333
2015,Île-du-Prince-Édouard,Autres machines et matériel,11,0.1911
2015,Île-du-Prince-Édouard,Machines et matériel de transport,11,0.153
2015,Nouvelle-Écosse,Total des actifs,12,0.1951
2015,Nouvelle-Écosse,Immeubles commerciaux,12,0.272
2015,Nouvelle-Écosse,Bâtiments institutionnels,12,0.272
2015,Nouvelle-Écosse,Infrastructures de génie maritime,12,0.126
2015,Nouvelle-Écosse,Infrastructures de génie liées aux transports,12,0.1878
2015,Nouvelle-Écosse,Infrastructure d'adduction et de distribution d'eau,12,0.126
2015,Nouvelle-Écosse,Infrastructures pour les eaux usées,12,0.126
2015,Nouvelle-Écosse,Réseaux de communication,12,0.2223
2015,Nouvelle-Écosse,Infrastructure liées à l'énergie électrique,12,0.1694
2015,Nouvelle-Écosse,Construction liée aux installations de pétrole et de gaz,12,0.1521
2015,Nouvelle-Écosse,Autres travaux de génie,12,0.126
2015,Nouvelle-Écosse,Autres machines et matériel,12,0.1307
2015,Nouvelle-Écosse,Machines et matériel de transport,12,0.2633
2015,Nouveau-Brunswick,Total des actifs,13,0.1729
2015,Nouveau-Brunswick,Immeubles commerciaux,13,0.1343
2015,Nouveau-Brunswick,Bâtiments institutionnels,13,0.1343
2015,Nouveau-Brunswick,Infrastructures de génie maritime,13,0.2038
2015,Nouveau-Brunswick,Infrastructures de génie liées aux transports,13,0.1997
