Year,Maladies,Value
2010,Cancer,538.3
2011,Cancer,542.2
2012,Cancer,530.4
2013,Cancer,524.4
2014,Cancer,519.1
2015,Cancer,517.1
2016,Cancer,514.4
2017,Cancer,495.9
2010,Maladie pulmonaire obstructive chronique,977.0
2011,Maladie pulmonaire obstructive chronique,917.0
2012,Maladie pulmonaire obstructive chronique,882.0
2013,Maladie pulmonaire obstructive chronique,845.0
2014,Maladie pulmonaire obstructive chronique,858.0
2015,Maladie pulmonaire obstructive chronique,825.0
2016,Maladie pulmonaire obstructive chronique,823.0
2017,Maladie pulmonaire obstructive chronique,800.0
2018,Maladie pulmonaire obstructive chronique,738.0
2019,Maladie pulmonaire obstructive chronique,710.0
2020,Maladie pulmonaire obstructive chronique,472.0
2010,Creutzfeldt-Jakob,0.11
2011,Creutzfeldt-Jakob,0.15
2012,Creutzfeldt-Jakob,0.18
2013,Creutzfeldt-Jakob,0.15
2014,Creutzfeldt-Jakob,0.16
2015,Creutzfeldt-Jakob,0.15
2016,Creutzfeldt-Jakob,0.18
2017,Creutzfeldt-Jakob,0.24
2018,Creutzfeldt-Jakob,0.22
2019,Creutzfeldt-Jakob,0.21
2020,Creutzfeldt-Jakob,0.18
2021,Creutzfeldt-Jakob,0.16
2022,Creutzfeldt-Jakob,0.23
2010,"Démence, y compris la maladie d'Alzheimer",1555.0
2011,"Démence, y compris la maladie d'Alzheimer",1545.0
2012,"Démence, y compris la maladie d'Alzheimer",1507.0
2013,"Démence, y compris la maladie d'Alzheimer",1472.0
2014,"Démence, y compris la maladie d'Alzheimer",1482.0
2015,"Démence, y compris la maladie d'Alzheimer",1463.0
2016,"Démence, y compris la maladie d'Alzheimer",1440.0
2017,"Démence, y compris la maladie d'Alzheimer",1419.0
2018,"Démence, y compris la maladie d'Alzheimer",1419.0
2019,"Démence, y compris la maladie d'Alzheimer",1407.0
2020,"Démence, y compris la maladie d'Alzheimer",1300.0
2010,Diabète,692.0
2011,Diabète,668.0
2012,Diabète,623.0
2013,Diabète,633.0
2014,Diabète,621.0
2015,Diabète,619.0
2016,Diabète,623.0
2017,Diabète,603.0
2018,Diabète,608.0
2019,Diabète,619.0
2020,Diabète,574.0
2010,VIH et SIDA,6.31
2011,VIH et SIDA,6.17
2012,VIH et SIDA,5.5
2013,VIH et SIDA,5.49
2014,VIH et SIDA,5.36
2015,VIH et SIDA,5.42
2016,VIH et SIDA,5.95
2017,VIH et SIDA,5.85
2018,VIH et SIDA,6.16
2019,VIH et SIDA,5.52
2020,VIH et SIDA,4.3
2021,VIH et SIDA,3.85
2010,Hypertension,2526.0
2011,Hypertension,2400.0
2012,Hypertension,2236.0
2013,Hypertension,2211.0
2014,Hypertension,2116.0
2015,Hypertension,2049.0
2016,Hypertension,1988.0
2017,Hypertension,1944.0
2018,Hypertension,1979.0
2019,Hypertension,1947.0
2020,Hypertension,1660.0
2010,Cardiopathies ischémiques,737.0
2011,Cardiopathies ischémiques,710.0
2012,Cardiopathies ischémiques,680.0
2013,Cardiopathies ischémiques,657.0
2014,Cardiopathies ischémiques,639.0
2015,Cardiopathies ischémiques,630.0
2016,Cardiopathies ischémiques,627.0
2017,Cardiopathies ischémiques,611.0
2018,Cardiopathies ischémiques,590.0
2019,Cardiopathies ischémiques,589.0
2020,Cardiopathies ischémiques,547.0
2010,Salmonellose,20.63
2011,Salmonellose,19.28
2012,Salmonellose,19.67
2013,Salmonellose,17.63
2014,Salmonellose,21.56
2015,Salmonellose,21.7
2016,Salmonellose,21.38
2017,Salmonellose,19.54
2018,Salmonellose,19.27
2019,Salmonellose,15.98
2020,Salmonellose,12.04
2021,Salmonellose,8.68
2010,Tuberculose,4.66
2011,Tuberculose,4.72
2012,Tuberculose,4.9
2013,Tuberculose,4.71
2014,Tuberculose,4.56
2015,Tuberculose,4.6
2016,Tuberculose,4.88
2017,Tuberculose,5.01
2018,Tuberculose,4.85
2019,Tuberculose,5.11
2020,Tuberculose,4.66
2021,Tuberculose,4.98
