Year,Géographie,Type d'infractions reliée à la cybercriminalité,Infraction reliée à la cybercriminalité,Value
2015,,,,17887
2016,,,,23996
2017,,,,27829
2018,,,,33893
2019,,,,44136
2015,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,850
2016,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1108
2017,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1132
2018,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1280
2019,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1450
2015,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,97
2016,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,295
2017,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,516
2018,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,569
2019,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,718
2015,Canada,Contre la personne,Extorsion,709
2016,Canada,Contre la personne,Extorsion,797
2017,Canada,Contre la personne,Extorsion,893
2018,Canada,Contre la personne,Extorsion,1863
2019,Canada,Contre la personne,Extorsion,1410
2015,Canada,Contre la personne,Harcèlement criminel,1001
2016,Canada,Contre la personne,Harcèlement criminel,1058
2017,Canada,Contre la personne,Harcèlement criminel,1291
2018,Canada,Contre la personne,Harcèlement criminel,1396
2019,Canada,Contre la personne,Harcèlement criminel,1715
2015,Canada,Contre la personne,Communications indécentes ou harcelantes,1202
2016,Canada,Contre la personne,Communications indécentes ou harcelantes,1655
2017,Canada,Contre la personne,Communications indécentes ou harcelantes,2302
2018,Canada,Contre la personne,Communications indécentes ou harcelantes,2708
2019,Canada,Contre la personne,Communications indécentes ou harcelantes,4933
2015,Canada,Contre la personne,Menaces,1139
2016,Canada,Contre la personne,Menaces,1356
2017,Canada,Contre la personne,Menaces,1674
2018,Canada,Contre la personne,Menaces,2224
2019,Canada,Contre la personne,Menaces,3122
2015,Canada,Contre la personne,Fraude,8429
2016,Canada,Contre la personne,Fraude,11383
2017,Canada,Contre la personne,Fraude,13426
2018,Canada,Contre la personne,Fraude,16641
2019,Canada,Contre la personne,Fraude,21047
2015,Canada,Contre la personne,Vol d'identité,191
2016,Canada,Contre la personne,Vol d'identité,260
2017,Canada,Contre la personne,Vol d'identité,280
2018,Canada,Contre la personne,Vol d'identité,284
2019,Canada,Contre la personne,Vol d'identité,388
2015,Canada,Contre la personne,Fraude à l'identité,695
2016,Canada,Contre la personne,Fraude à l'identité,828
2017,Canada,Contre la personne,Fraude à l'identité,1082
2018,Canada,Contre la personne,Fraude à l'identité,1369
2019,Canada,Contre la personne,Fraude à l'identité,1920
2015,Canada,Contre la personne,Pornographie juvénile,1753
2016,Canada,Contre la personne,Pornographie juvénile,1278
2017,Canada,Contre la personne,Pornographie juvénile,1041
2018,Canada,Contre la personne,Pornographie juvénile,621
2019,Canada,Contre la personne,Pornographie juvénile,1130
2015,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,850
2016,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,2886
2017,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,2868
2018,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,3113
2019,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,4174
