Year,Géographie,GeoCode,Value
2019,,,59.9
2020,,,52.2
2023,,,56.1
2019,"Canada, sans les territoires",,59.9
2019,Terre-Neuve-et-Labrador,10,57.8
2019,Île-du-Prince-Édouard,11,65.6
2019,Nouvelle-Écosse,12,61.0
2019,Nouveau-Brunswick,13,60.9
2019,Québec,24,78.2
2019,Ontario,35,53.6
2019,Manitoba,46,50.5
2019,Saskatchewan,47,53.0
2019,Alberta,48,54.1
2019,Colombie-Britannique,59,57.6
2019,Yukon,60,59.0
2019,Territoires du Nord-Ouest,61,56.2
2019,Nunavut,62,36.7
2020,"Canada, sans les territoires",,52.3
2020,Terre-Neuve-et-Labrador,10,60.1
2020,Île-du-Prince-Édouard,11,60.7
2020,Nouvelle-Écosse,12,54.9
2020,Nouveau-Brunswick,13,59.1
2020,Québec,24,75.2
2020,Ontario,35,44.2
2020,Manitoba,46,46.2
2020,Saskatchewan,47,46.7
2020,Alberta,48,41.4
2020,Colombie-Britannique,59,49.9
2020,Yukon,60,54.0
2020,Territoires du Nord-Ouest,61,49.6
2020,Nunavut,62,34.7
2022,"Canada, sans les territoires",,51.6
2022,Terre-Neuve-et-Labrador,10,55.9
2022,Île-du-Prince-Édouard,11,58.5
2022,Nouvelle-Écosse,12,54.5
2022,Nouveau-Brunswick,13,58.9
2022,Québec,24,71.3
2022,Ontario,35,41.4
2022,Manitoba,46,47.5
2022,Saskatchewan,47,50.9
2022,Alberta,48,46.0
2022,Colombie-Britannique,59,53.2
2023,"Canada, sans les territoires",,56.2
2023,Terre-Neuve-et-Labrador,10,52.2
2023,Île-du-Prince-Édouard,11,59.7
2023,Nouvelle-Écosse,12,56.1
2023,Nouveau-Brunswick,13,60.7
2023,Québec,24,75.0
2023,Ontario,35,47.8
2023,Manitoba,46,52.1
2023,Saskatchewan,47,53.8
2023,Alberta,48,52.0
2023,Colombie-Britannique,59,54.5
2023,Yukon,60,65.6
2023,Territoires du Nord-Ouest,61,49.0
2023,Nunavut,62,32.2
