Year,Géographie,Catégorie de produits,GeoCode,Value
2015,,,,0.91
2016,,,,0.91
2017,,,,0.89
2018,,,,0.88
2019,,,,0.88
2020,,,,0.89
2015,Canada,Matériaux de construction,,0.93
2015,Canada,Équipements électriques et électroniques,,0.99
2015,Canada,Matériel électronique,,1.2
2015,Canada,Gros appareils électroménagers,,0.89
2015,Canada,Autres équipements électriques et électroniques,,0.93
2015,Canada,Emballages,,1.06
2015,Canada,Bouteilles,,1.97
2015,Canada,Films,,0.94
2015,Canada,Rigides non-bouteilles,,0.99
2015,Canada,Autres produits d'emballage,,0.91
2015,Canada,Films agricoles,,1.01
2015,Canada,Textiles,,0.89
2015,Canada,Véhicules,,0.68
2015,Canada,Autres produits,,0.77
2015,Terre-Neuve-et-Labrador,"Total, toutes les catégories de produits",10,3.92
2015,Terre-Neuve-et-Labrador,Matériaux de construction,10,0.89
2015,Terre-Neuve-et-Labrador,Équipements électriques et électroniques,10,0.95
2015,Terre-Neuve-et-Labrador,Emballages,10,0.91
2015,Terre-Neuve-et-Labrador,Films agricoles,10,0.72
2015,Terre-Neuve-et-Labrador,Textiles,10,0.89
2015,Terre-Neuve-et-Labrador,Véhicules,10,25.17
2015,Terre-Neuve-et-Labrador,Autres produits,10,0.61
2015,Île-du-Prince-Édouard,"Total, toutes les catégories de produits",11,0.76
2015,Île-du-Prince-Édouard,Matériaux de construction,11,0.92
2015,Île-du-Prince-Édouard,Équipements électriques et électroniques,11,1.11
2015,Île-du-Prince-Édouard,Emballages,11,1.02
2015,Île-du-Prince-Édouard,Films agricoles,11,1.09
2015,Île-du-Prince-Édouard,Textiles,11,0.88
2015,Île-du-Prince-Édouard,Véhicules,11,0.22
2015,Île-du-Prince-Édouard,Autres produits,11,0.6
2015,Nouvelle-Écosse,"Total, toutes les catégories de produits",12,0.82
2015,Nouvelle-Écosse,Matériaux de construction,12,0.9
2015,Nouvelle-Écosse,Équipements électriques et électroniques,12,1.05
2015,Nouvelle-Écosse,Emballages,12,1.28
