Year,Géographie,Value
2011,,0.0
2012,,0.1
2013,,0.2
2014,,0.3
2015,,0.4
2016,,0.6
2017,,1.0
2018,,2.2
2019,,2.9
2020,,3.5
2011,Colombie-Britannique et les Territoires,0.1
2012,Colombie-Britannique et les Territoires,0.2
2013,Colombie-Britannique et les Territoires,0.3
2014,Colombie-Britannique et les Territoires,0.4
2015,Colombie-Britannique et les Territoires,0.7
2016,Colombie-Britannique et les Territoires,0.9
2017,Colombie-Britannique et les Territoires,1.3
2018,Colombie-Britannique et les Territoires,3.5
2019,Colombie-Britannique et les Territoires,7.8
2020,Colombie-Britannique et les Territoires,8.4
2011,Manitoba,0.0
2012,Manitoba,0.0
2013,Manitoba,0.1
2014,Manitoba,0.0
2015,Manitoba,0.1
2016,Manitoba,0.1
2017,Manitoba,0.1
2018,Manitoba,0.3
2019,Manitoba,0.6
2020,Manitoba,0.7
2011,Nouveau-Brunswick,0.0
2012,Nouveau-Brunswick,0.0
2013,Nouveau-Brunswick,0.0
2014,Nouveau-Brunswick,0.0
2015,Nouveau-Brunswick,0.0
2016,Nouveau-Brunswick,0.1
2017,Nouveau-Brunswick,0.1
2018,Nouveau-Brunswick,0.2
2019,Nouveau-Brunswick,0.4
2020,Nouveau-Brunswick,0.5
2011,Ontario,0.0
2012,Ontario,0.1
2013,Ontario,0.2
2014,Ontario,0.3
2015,Ontario,0.3
2016,Ontario,0.5
2017,Ontario,1.1
2018,Ontario,2.0
2019,Ontario,1.2
2020,Ontario,1.8
2011,Île-du-Prince-Édouard,0.0
2012,Île-du-Prince-Édouard,0.0
2013,Île-du-Prince-Édouard,0.0
2014,Île-du-Prince-Édouard,0.1
2015,Île-du-Prince-Édouard,0.0
2016,Île-du-Prince-Édouard,0.1
2017,Île-du-Prince-Édouard,0.1
2018,Île-du-Prince-Édouard,0.2
2019,Île-du-Prince-Édouard,0.6
2020,Île-du-Prince-Édouard,0.8
2011,Québec,0.0
2012,Québec,0.2
2013,Québec,0.3
2014,Québec,0.6
2015,Québec,0.7
2016,Québec,1.2
2017,Québec,1.7
2018,Québec,3.8
2019,Québec,5.9
2020,Québec,6.8
2011,Saskatchewan,0.0
2012,Saskatchewan,0.0
2013,Saskatchewan,0.0
2014,Saskatchewan,0.0
2015,Saskatchewan,0.0
2016,Saskatchewan,0.1
2017,Saskatchewan,0.1
2018,Saskatchewan,0.2
2019,Saskatchewan,0.4
2020,Saskatchewan,0.4
